tanggal,keterangan
2024-11-27,nan
2024-12-25,nan
2024-12-26,nan
2025-01-01,nan
2025-01-27,nan
2025-01-28,nan
2025-01-29,nan
2025-03-26,nan
2025-03-27,nan
2025-03-28,nan
2025-03-29,nan
2025-03-31,nan
2025-04-01,nan
2025-04-02,nan
2025-04-03,nan
2025-04-04,nan
2025-04-07,nan
2025-04-08,nan
2025-04-09,nan
2025-04-10,nan
2025-04-11,nan
2025-04-18,nan
2025-04-20,nan
2025-05-01,nan
2025-05-08,nan
2025-05-12,nan
2025-05-13,nan
2025-05-19,nan
2025-05-20,nan
2025-05-29,nan
2025-05-30,nan
2025-06-01,nan
2025-06-09,nan
2025-06-27,nan
2025-08-17,nan
2025-08-18,nan
2025-08-25,nan
2025-09-05,nan
2025-12-25,nan
2025-12-26,nan
2026-01-01,nan
2026-01-05,Buruh
2026-01-16,Isra Mikraj
2026-02-16,Libur Bersama Tahun baru Imlek
2026-02-17,Tahun Baru Imlek
2026-03-18,Nyepi
2026-03-19,Nyepi
2026-03-20,Lebaran
2026-03-21,Lebaran
2026-03-22,Lebaran
2026-03-23,Lebaran
2026-03-24,Lebaran
2026-04-03,Wafat Yesus Kristus
2026-05-01,Hari Buruh
2026-05-04,Paskah
2026-05-14,Kenaikan Yesus
2026-05-15,Kenaikan Yesus
2026-05-27,Lebaran Haji
2026-05-28,Lebaran Haji
2026-05-31,Waisak
2026-06-01,Hari Lahir Pancasila
2026-06-16,Tahun Baru Islam
2026-08-17,MERDEKA
2026-08-25,Maulid Nabi
2026-12-25,Natal
